法官姓名,拼音首字母,编码
安斌成,ABC,1
阿比马麻,ABMM,2
安宝哲,ABZ,3
艾地艾木,ADAM,4
安德宪,ADX,5
艾方方,AFF,6
安丰军,AFJ,7
安丰阳,AFY,8
安光荣,AGR,9
安桂香,AGX,10
艾华,AH,11
安洪,AH,12
艾厚军,AHJ,13
安海军,AHJ,14
阿海乐,AHL,15
安洪强,AHQ,16
艾洪仁,AHR,17
安红卫,AHW,18
艾静,AJ,19
安俊,AJ,20
艾建军,AJJ,21
安江勇,AJY,22
艾克帕尔,AKPE,23
安利,AL,24
艾黎,AL,25
阿莱,AL,26
安拉加,ALJ,27
敖丽娜,ALN,28
阿木以卡,AMYK,29
艾尼娃,ANW,30
阿萍仁,APR,31
阿琼,AQ,32
阿日古娜,ARGN,33
敖瑞学,ARX,34
敖文林,AWL,35
安文生,AWS,36
安昕,AX,37
艾秀,AX,38
艾筱姑,AXG,39
敖选奎,AXK,40
安小玲,AXL,41
阿西木依,AXMY,42
安宣强,AXQ,43
敖于,AY,44
安雅琳,AYL,45
安志,AZ,46
艾泽栋,AZD,47
安志宏,AZH,48
卞飙,BB,49
边巴,BB,50
鲍丙春,BBC,51
边巴旦增,BBDZ,52
边巴罗珠,BBLZ,53
白宝庆,BBQ,54
边巴扎西,BBZX,55
白成,BC,56
白崇斌,BCB,57
柏崇良,BCL,58
白崇伟,BCW,59
毕丹,BD,60
毕德刚,BDG,61
包大进,BDJ,62
鲍登利,BDL,63
卞丹郦,BDL,64
贝冬梅,BDM,65
白东平,BDP,66
包德喜,BDX,67
闭赋火,BFH,68
边凤娟,BFJ,69
柏舸,BG,70
柏刚,BG,71
卞国栋,BGD,72
柏刚独任,BGDR,73
包广良,BGL,74
柏桦,BH,75
白河,BH,76
宝花,BH,77
包华斌,BHB,78
毕红风,BHF,79
毕海峰,BHF,80
毕海明,BHM,81
鲍红霞,BHX,82
白和勋,BHX,83
白海燕,BHY,84
贝红雁,BHY,85
巴红岩,BHY,86
鲍涣泽,BHZ,87
鲍杰,BJ,88
白均,BJ,89
毕静,BJ,90
包佶,BJ,91
白金芳,BJF,92
包家付,BJF,93
包谏国,BJG,94
鲍建民,BJM,95
鲍继宁,BJN,96
白佳顺,BJS,97
白军绪,BJX,98
卜俊勇,BJY,99
白卡娟,BKJ,100
毕开亮,BKL,101
白兰,BL,102
白蕾,BL,103
边龙,BL,104
白璐,BL,105
宝力,BL,106
边琳琳,BLL,107
别立明,BLM,108
包立平,BLP,109
白梅,BM,110
卞命,BM,111
白明彬,BMB,112
白明瑛,BMY,113
卞命友,BMY,114
白玛卓玛,BMZM,115
白楠,BN,116
毕年莉,BNL,117
邴妮婷,BNT,118
鲍琦,BQ,119
白清,BQ,120
卜庆发,BQF,121
白清阁,BQG,122
巴秋鸽,BQG,123
白启科,BQK,124
白全仁,BQR,125
鲍巧新,BQX,126
鲍庆宇,BQY,127
卜庆永,BQY,128
卞荣巍,BRW,129
毕肃,BS,130
柏松,BS,131
卜士凡,BSF,132
柏松桦,BSH,133
包树海,BSH,134
白深郡,BSJ,135
鲍思梅,BSM,136
巴桑普尺,BSPC,137
边素体,BST,138
巴桑央宗,BSYZ,139
白拴柱,BSZ,140
鲍维军,BWJ,141
毕文静,BWJ,142
白伟江,BWJ,143
柏为良,BWL,144
白万林,BWL,145
包文玲,BWL,146
白雪,BX,147
巴翔,BX,148
边旭,BX,149
白晰,BX,150
白相爱,BXA,151
边晓兵,BXB,152
白新博,BXB,153
白旭春,BXC,154
巴险峰,BXF,155
白小凤,BXF,156
白秀峰,BXF,157
白雪峰,BXF,158
白贤慧,BXH,159
白新铠,BXK,160
包晓龙,BXL,161
白贤荣,BXR,162
卜熙文,BXW,163
班晓伟,BXW,164
白兴蔚,BXW,165
包旭霞,BXX,166
白新宇,BXY,167
白向阳,BXY,168
巴雅,BY,169
白莹,BY,170
白毅,BY,171
卞渊,BY,172
包瑜,BY,173
白杨,BY,174
柏燕,BY,175
巴亚,BY,176
毕颖超,BYC,177
包迎春,BYC,178
柏燕独任,BYDR,179
卞渊独任,BYDR,180
卞艳飞,BYF,181
薄耀辉,BYH,182
包永辉,BYH,183
白玉华,BYH,184
白永军,BYJ,185
巴艳杰,BYJ,186
包亚娟,BYJ,187
白艳利,BYL,188
毕云亮,BYL,189
白玉林,BYL,190
白玉龙,BYL,191
鲍一鹏,BYP,192
白永胜,BYS,193
白永顺,BYS,194
白羽翔,BYX,195
毕妍妍,BYY,196
拔跃云,BYY,197
毕远周,BYZ,198
白治,BZ,199
巴珠,BZ,200
边子,BZ,201
巴卓,BZ,202
白宗安,BZA,203
鲍占仓,BZC,204
包志军,BZJ,205
巴沾军,BZJ,206
柏仲民,BZM,207
白子且,BZQ,208
边子仙,BZX,209
陈阿,CA,210
陈安,CA,211
陈爱华,CAH,212
陈安华,CAH,213
陈艾菁,CAJ,214
陈爱娟,CAJ,215
陈爱琳,CAL,216
陈安莉,CAL,217
陈爱莲,CAL,218
陈爱明,CAM,219
陈阿民,CAM,220
陈爱铭,CAM,221
陈爱农,CAN,222
陈安平,CAP,223
曹爱萍,CAP,224
陈安全,CAQ,225
曹安勇,CAY,226
曹彬,CB,227
陈斌,CB,228
陈冰,CB,229
程斌,CB,230
陈波,CB,231
曾波,CB,232
崔斌,CB,233
常斌,CB,234
蔡邦,CB,235
承办,CB,236
畅博,CB,237
成保,CB,238
曾斌,CB,239
曹彪,CB,240
陈飚,CB,241
陈彬,CB,242
蔡兵,CB,243
成保安,CBA,244
陈彬彬,CBB,245
陈邦超,CBC,246
程博淳,CBC,247
陈碧芳,CBF,248
蔡报刚,CBG,249
蔡邦建,CBJ,250
陈宝聚,CBJ,251
陈碧莲,CBL,252
陈秉龙,CBL,253
陈蓓蕾,CBL,254
崔宝民,CBM,255
常保民,CBM,256
陈柏宁,CBN,257
陈冰萍,CBP,258
陈邦攀,CBP,259
陈本启,CBQ,260
崔斌生,CBS,261
陈碧梧,CBW,262
陈炳文,CBW,263
茶本祥,CBX,264
曹百艳,CBY,265
蔡创,CC,266
陈超,CC,267
崔灿,CC,268
成灿,CC,269
陈昌,CC,270
程程,CC,271
陈晨,CC,272
蔡超,CC,273
陈春,CC,274
陈程,CC,275
仇长春,CCC,276
陈纯纯,CCC,277
陈春丹,CCD,278
陈翠娥,CCE,279
陈才刚,CCG,280
陈春根,CCG,281
陈春华,CCH,282
程春华,CCH,283
陈朝辉,CCH,284
程传华,CCH,285
陈彩虹,CCH,286
储晨洁,CCJ,287
仇春娟,CCJ,288
陈成建,CCJ,289
陈春琳,CCL,290
崔春柳,CCL,291
陈昌龙,CCL,292
蔡超明,CCM,293
陈昌宁,CCN,294
