编号,原始案号,预备,未遂,中止,较大,巨大,特别巨大,凶器,多次,流窜,扒窃,入户,系自首,立功,系坦白,如实供述,自愿认罪,认罪认罚,累犯,前科,未成年,老年人,残疾,精神病,谅解,和解,赔偿,黑恶势力,灾害,性别,学历,就业状况,法官性别,法官原始刑期,预测刑期1,预测刑期2,刑期差值1,刑期差值2,刑期差值3,slope_judge,slope_machine1,法官姓名编码
1,153602,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,8,12.8,12.69,4.8,4.69,0.11,-0.320185218371142,-0.617189083673324,12713.0
2,268823,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4,1,0,12,9.52,9.48,2.48,2.52,0.04,-0.52392112472712,-0.280932605066677,6703.0
3,68724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,9,7.15,7.51,1.85,1.49,-0.36,0.0356700921393747,0.133194539972326,4860.0
4,125972,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,7,5.29,5.17,1.71,1.83,0.12,-0.406958612303334,-0.58008212755146,11180.0
5,250338,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,2,0,0,11,5.51,5.65,5.49,5.35,-0.14,-0.076075854624816,-0.282393950522495,10231.0
6,176102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,3,5.71,6.19,2.71,3.19,-0.47,-0.41481937828157,-0.340860966974987,9127.0
7,12058,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4.95,5.5,1.95,2.5,-0.54,-0.491288431227146,-0.450320138555268,4437.0
8,153485,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,2,0,1,8,7.7,7.37,0.3,0.63,0.32,-0.172289930661741,-0.221098869872057,9097.0
9,225729,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,9,17.98,16.93,8.98,7.93,1.05,-0.189685456110137,-0.0181163620465528,1246.0
10,269584,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,6,5.64,5.9,0.36,0.1,-0.26,-0.3860919194207,-0.406662201771574,2151.0
11,169568,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0,10,9.45,9.72,0.55,0.28,-0.27,-0.267562879048945,-0.225058155919536,1411.0
12,43828,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,6,1,1,6,9.14,9.16,3.14,3.16,-0.02,0.334739649954445,-0.551589324126796,14022.0
13,64936,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,6,8.26,8.32,2.26,2.32,-0.06,-0.116566494875788,0.248176564080923,16799.0
14,256016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,6.45,6.67,1.45,1.67,-0.22,-0.510567431228776,-0.323354822345139,
15,192643,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,3,5.45,5.6,2.45,2.6,-0.15,-0.796172253218052,-0.610035089107085,10005.0
16,108838,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0,9,11.0,10.18,2.0,1.18,0.82,-0.476703061349751,-0.704081567255948,
17,178454,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,8,1,1,11,11.88,13.41,0.88,2.41,-1.54,-0.808260494262103,-0.878692352176495,7630.0
18,150775,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,7.24,7.41,4.76,4.59,-0.16,-0.0745800194754276,-0.278566777018012,1862.0
19,291051,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,42,38.59,38.35,3.41,3.65,0.24,-0.283018995695845,-0.252434380864495,17047.0
20,274341,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,1,4.88,4.9,3.88,3.9,-0.02,-0.611424546346135,-0.693566615079647,9887.0
21,238002,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,1,1,8,9.24,9.31,1.24,1.31,-0.08,-0.0801556171439202,-0.120257610519669,2130.0
22,30243,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,6,5.72,5.54,0.28,0.46,0.18,-0.198578163815161,-0.21339464734889,14778.0
23,185094,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,8,1,0,18,11.89,12.32,6.11,5.68,-0.43,-0.0171123189167121,-0.0210858889848326,335.0
24,132691,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,2,1,0,4,5.9,5.73,1.9,1.73,0.17,-0.693851744637911,-0.489149042492953,5700.0
25,142496,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,7,6.83,7.34,0.17,0.34,-0.51,-0.26705026916734,-0.277948749164825,5790.0
26,184822,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,11,5.6,5.56,5.4,5.44,0.04,-0.0199640503114305,-0.341259149125255,
27,281519,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,1,7,5.37,5.38,1.63,1.62,-0.01,-0.200485674454014,-0.47423215950838,16881.0
28,209535,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,5,5.81,4.52,0.81,0.48,1.29,-0.353089786557158,-0.296374735512095,4990.0
29,206312,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,6,6.68,6.71,0.68,0.71,-0.02,-0.408853881758993,-0.340539988855623,10507.0
30,177493,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,12,6.54,5.7,5.46,6.3,0.84,-0.0415674559914854,-0.35356960697596,5858.0
31,227559,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,1,6,5.6,5.97,0.4,0.03,-0.37,-0.368168293384403,-0.390155914161693,7948.0
32,190734,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,23,16.55,15.84,6.45,7.16,0.71,-0.478711900124092,-0.659796929018342,6300.0
33,104208,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,6,8.41,7.7,2.41,1.7,0.7,0.204032968921074,0.142533792021578,12583.0
34,204155,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,4,6.33,6.36,2.33,2.36,-0.03,-0.268441271582223,-0.122446704776449,11675.0
35,150481,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,6,6.49,6.75,0.49,0.75,-0.27,-0.391398921583869,-0.328546895664088,14409.0
37,163150,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,6,7.88,6.9,1.88,0.9,0.98,-0.055507337398856,-0.24487399447569,617.0
38,188861,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,8,9.36,8.67,1.36,0.67,0.69,-0.520984893304918,-0.665772897413141,5470.0
39,194976,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,4,5.48,4.34,1.48,0.34,1.14,-0.389534586746721,-0.315451603653682,14077.0
40,254305,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,8,9.56,9.5,1.56,1.5,0.06,-0.206719452142374,-0.341783797467277,12940.0
41,122423,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,10,10.58,10.65,0.58,0.65,-0.07,-0.73685444893327,-0.747929807848589,10122.0
42,183814,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,3,0,1,7,9.39,9.57,2.39,2.57,-0.18,-0.0809875013055374,-0.356677475616191,14615.0
43,87057,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,9,9.03,9.01,0.03,0.01,0.02,-0.163397462487514,-0.162371559499646,10033.0
44,11182,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,7,7.04,6.34,0.04,0.66,0.7,-0.0130811051001495,-0.0166132000507411,16468.0
45,89332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,8,6.73,6.92,1.27,1.08,-0.2,0.024410239538996,-0.0862660755862178,7099.0
46,203730,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,8,10.44,9.73,2.44,1.73,0.71,-0.207714745388022,-0.32063048693654,13890.0
47,235648,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,6,5.81,5.88,0.19,0.12,-0.07,-0.481022403916885,-0.502725063837145,9580.0
